unique_id,timepoint,age,gender,exclude_master,attention_check_1,attention_check_2,SITES_completeness,IRI_completeness,EQ_completeness,PET_completeness,EYES_completeness,PTP_completeness,SITES,IRI_FS,IRI_EC,IRI_PT,IRI_PD,IRI_total,EQ_total,EQ_cog,EQ_aff,EQ_soc,PET_total,EYES_total,PTP_simple,PTP_reversed,PTP_doublereversed,PTP_total,PTTA_total,IRI_1,IRI_2,IRI_3,IRI_4,IRI_5,IRI_6,IRI_7,IRI_8,IRI_9,IRI_10,IRI_11,IRI_12,IRI_13,IRI_14,IRI_15,IRI_16,IRI_17,IRI_18,IRI_19,IRI_20,IRI_21,IRI_22,IRI_23,IRI_24,IRI_25,IRI_26,IRI_27,IRI_28,EQ_1,EQ_4,EQ_6,EQ_8,EQ_10,EQ_11,EQ_12,EQ_14,EQ_15,EQ_18,EQ_19,EQ_21,EQ_22,EQ_25,EQ_26,EQ_27,EQ_28,EQ_29,EQ_32,EQ_34,EQ_35,EQ_36,EQ_37,EQ_38,EQ_39,EQ_41,EQ_42,EQ_43,EQ_44,EQ_46,EQ_48,EQ_49,EQ_50,EQ_52,EQ_54,EQ_55,EQ_57,EQ_58,EQ_59,EQ_60,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,EYES_1,EYES_2,EYES_3,EYES_4,EYES_5,EYES_6,EYES_7,EYES_8,EYES_9,EYES_10,EYES_11,EYES_12,EYES_13,EYES_14,EYES_15,EYES_16,EYES_17,EYES_18,EYES_19,EYES_20,EYES_21,EYES_22,EYES_23,EYES_24,EYES_25,EYES_26,EYES_27,EYES_28,EYES_29,EYES_30,EYES_31,EYES_32,EYES_33,EYES_34,EYES_35,EYES_36,PTP_1,PTP_2,PTP_3,PTP_4,PTP_5,PTP_6,PTP_7,PTP_8,PTP_9,PTTA_1,PTTA_2,PTTA_3,PTTA_4,PTTA_5,PTTA_6,PTTA_7,PTTA_8,PTTA_9,PTTA_10,PTTA_11,PTTA_12,PTTA_13,PTTA_14,PTTA_15,PTTA_16,PTTA_17,PTTA_18,PTTA_19,PTTA_20,PTTA_21,PTTA_22,PTTA_23,PTTA_24,PTTA_25,PTTA_26,PTTA_27,PTTA_28,PTTA_29,PTTA_30,PTTA_31,PTTA_32
15,1,27,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,15,22,20,16,73,39,9,17,8,3.7142857142857144,15,3,4,2,9,12,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,2,3,3,2,4,3,3,2,1,2,0,3,3,1,1,2,0,1,2,2,1,1,2,1,1,0,1,1,1,1,1,2,1,0,1,0,2,1,1,1,1,1,1,2,1,1,1,0,0,0,0,1,1,3,4,4,5,2,4,4,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,31,male,include,passed,passed,complete,complete,complete,complete,complete,complete,4,8,16,12,7,43,28,14,7,3,3.142857142857143,28,3,4,2,9,9,3,1,2,3,1,1,1,2,3,1,1,0,1,2,1,1,1,3,1,2,3,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,0,2,2,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,4,2,3,3,2,4,4,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,40,female,include,passed,passed,complete,complete,complete,complete,complete,complete,3,17,23,9,20,69,45,13,16,7,3.2857142857142856,28,3,4,1,8,11,4,2,2,3,4,4,2,1,3,4,1,3,3,4,2,0,2,4,3,4,2,3,3,2,1,1,2,0,1,0,0,0,0,2,2,0,0,2,0,2,1,1,1,2,2,2,2,2,1,1,0,2,0,1,2,2,1,1,1,2,2,1,0,1,2,1,1,1,2,3,3,4,3,5,3,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,29,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,21,22,19,15,77,28,12,12,6,3.7142857142857144,21,3,3,2,8,4,3,3,2,3,3,3,4,3,3,4,3,3,2,3,2,2,3,4,2,3,3,3,3,1,3,3,0,3,1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,2,0,1,1,1,2,2,4,4,5,5,4,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,23,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,20,25,26,8,79,66,21,23,10,4,30,3,4,0,7,20,1,3,4,4,3,1,3,3,4,3,4,4,2,3,3,3,1,4,1,3,4,4,3,0,4,3,0,4,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,1,1,0,0,1,1,2,4,2,5,4,4,5,4,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20,1,46,male,include,passed,passed,complete,complete,complete,complete,complete,complete,3,13,16,12,18,59,33,10,14,11,4,30,3,1,0,4,10,2,2,1,1,2,3,2,3,3,3,1,3,2,2,2,1,3,3,3,3,3,2,1,2,1,2,2,1,2,0,1,0,2,1,0,1,0,2,1,1,0,1,0,1,1,0,1,2,0,0,0,2,1,1,1,0,1,1,2,0,0,1,1,1,1,1,0,2,4,3,4,4,5,5,3,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,44,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,20,21,19,12,72,63,28,21,9,4.714285714285714,30,3,4,0,7,14,2,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,1,3,1,3,3,3,3,1,3,3,1,3,2,1,2,1,0,2,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,0,2,1,1,5,5,5,4,5,5,4,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,28,female,include,passed,passed,complete,complete,complete,complete,complete,complete,3,5,5,12,12,34,31,10,8,10,2.2857142857142856,27,3,3,0,6,12,3,0,3,1,0,2,1,1,1,4,2,0,1,1,2,0,3,2,2,0,1,0,0,0,1,1,0,2,1,0,0,0,2,2,2,2,1,2,1,0,0,1,1,1,0,1,1,0,0,0,0,2,0,1,0,0,1,2,0,1,0,1,0,1,1,2,0,1,3,1,2,3,1,4,2,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,35,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,18,26,25,14,83,48,20,11,10,2,26,2,4,0,6,13,4,4,4,4,3,2,2,4,4,2,3,4,1,3,4,0,3,4,3,3,4,4,2,2,2,3,1,4,2,1,1,0,2,1,1,2,2,2,2,0,1,1,2,1,2,0,1,2,1,1,1,1,0,2,1,2,2,1,2,1,0,2,1,1,1,1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,30,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,26,25,19,11,81,55,30,14,6,4,30,3,4,0,7,9,3,3,3,4,4,0,4,4,4,4,3,4,4,4,0,4,1,3,1,4,2,3,3,1,3,4,0,4,2,2,2,2,0,2,2,2,1,1,2,2,2,2,2,0,0,0,0,0,2,2,0,2,0,2,1,2,2,0,2,1,0,2,2,2,1,2,2,2,5,2,5,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,30,female,include,passed,passed,complete,complete,complete,complete,complete,complete,5,19,23,19,11,72,50,20,19,7,4.571428571428571,26,3,3,1,7,17,3,3,3,3,2,3,3,4,3,3,3,3,1,3,0,3,1,4,1,3,3,4,3,1,3,2,1,3,0,2,2,0,1,0,2,2,0,2,1,1,2,1,2,1,1,2,2,0,1,2,0,1,2,1,1,2,1,2,2,0,2,2,1,1,0,2,2,1,5,4,5,5,4,5,4,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,36,male,include,passed,passed,complete,complete,complete,complete,complete,complete,5,19,17,10,8,54,33,13,11,5,4.142857142857143,21,3,3,1,7,13,4,2,1,2,3,1,2,2,3,2,1,4,2,3,2,2,1,3,1,2,2,2,2,1,1,2,0,1,1,0,1,1,2,1,2,1,0,2,0,0,0,1,1,1,0,1,1,1,2,1,0,1,0,1,0,1,1,2,2,0,1,1,1,1,0,0,0,1,2,5,5,5,4,5,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
27,1,38,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,23,25,21,21,90,60,24,20,14,4.142857142857143,30,3,4,2,9,13,1,3,3,4,4,4,3,3,3,2,3,4,3,3,3,3,3,4,3,4,3,4,4,3,3,4,3,3,2,0,1,0,2,1,0,2,1,2,2,2,2,2,2,1,2,2,2,2,0,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,1,1,2,2,4,3,4,5,3,5,5,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,43,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,16,17,19,8,60,38,15,15,6,2,23,3,4,1,8,3,2,2,3,3,3,1,3,3,2,2,3,3,1,3,3,1,0,4,2,2,2,1,1,1,2,3,1,3,2,0,1,2,1,1,2,1,0,2,1,2,1,1,1,0,0,0,1,0,1,1,1,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,2,2,2,2,2,2,2,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,1,42,male,include,passed,passed,complete,complete,complete,complete,complete,complete,4,12,12,12,5,41,36,18,10,6,2.4285714285714284,32,3,4,1,8,12,3,1,2,1,1,0,3,2,3,2,2,1,1,1,1,1,0,2,1,2,3,2,1,0,1,2,1,1,2,0,1,1,0,0,0,1,2,2,1,1,1,1,2,1,1,0,0,0,1,0,1,2,0,2,0,1,2,1,1,0,0,1,1,1,2,2,0,1,3,2,2,2,4,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,31,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,10,16,18,7,51,47,24,11,8,4,29,3,3,1,7,15,1,1,1,3,2,0,4,3,3,2,3,1,3,3,3,0,1,3,1,2,4,1,2,0,1,0,0,3,2,2,0,2,2,0,2,2,0,2,1,0,0,2,2,1,0,0,0,1,2,1,1,2,1,2,0,2,2,0,1,0,2,1,2,1,1,2,1,2,4,1,5,5,4,5,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,45,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,16,21,14,16,67,43,14,15,10,4.285714285714286,21,3,3,2,8,21,2,3,2,3,3,3,2,1,3,3,3,3,2,3,2,2,3,3,1,3,2,3,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,2,1,2,2,2,1,1,0,2,0,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,4,4,4,5,4,5,4,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
32,1,31,male,include,passed,passed,complete,complete,complete,complete,complete,complete,3,9,11,13,4,37,31,12,8,6,1.2857142857142858,23,3,4,0,7,12,1,1,2,3,0,0,4,1,2,0,2,4,1,1,3,0,0,3,2,0,3,1,0,0,1,0,1,1,2,1,0,1,2,1,0,2,2,2,1,1,0,0,1,1,2,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,2,1,2,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,26,male,include,passed,passed,complete,complete,complete,complete,complete,complete,2,14,15,14,10,53,31,12,9,2,2.142857142857143,21,3,4,0,7,20,3,0,3,2,2,3,3,2,4,2,1,1,1,1,2,3,1,3,1,4,4,1,1,1,2,1,1,0,1,2,0,0,1,2,1,0,0,0,2,1,0,1,2,1,1,0,0,0,1,0,0,2,1,1,0,1,0,0,1,0,2,1,1,1,2,1,1,0,2,2,1,2,2,3,3,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
34,1,35,female,include,passed,passed,complete,complete,complete,complete,complete,complete,4,15,15,16,8,54,32,14,10,9,2.4285714285714284,30,3,4,1,8,22,3,2,3,3,4,1,1,4,3,4,4,3,0,2,2,0,3,3,0,0,2,2,3,0,1,1,0,0,1,0,0,0,1,2,1,2,0,2,1,1,1,1,2,0,0,0,0,0,0,0,0,2,0,2,1,1,2,1,1,1,1,1,0,1,1,1,0,1,1,2,2,3,3,3,3,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
35,1,44,male,include,passed,passed,complete,complete,complete,complete,complete,complete,4,14,20,20,9,63,39,15,10,9,3,26,3,3,0,6,12,2,3,3,3,3,1,2,3,3,1,3,3,2,3,3,0,1,4,2,1,2,3,2,1,3,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,3,3,3,3,3,3,3,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
